,Mean monthly ret (%),Std (%),Ann. Sharpe,Ann. ret (%)
Low,1.0878,4.5688,0.8247,13.053
Mid,1.1643,4.5674,0.8831,13.972
High,1.3316,4.7392,0.9733,15.9793
HML,0.2439,1.5353,0.5502,2.9263
